"Adam McKay zrealizowa³ film swojego ¿ycia. Najambitniejszy, imponuj¹cy tempem, jednak bardzo przystêpny i zrozumia³y nawet dla takiego laika jak ja.",9.0
"Ten film tak mnie oczarowa³, ¿e zapomnia³em o irytuj¹cej klimatyzacji, zerkaniu na zegarek, a nawet zapomnia³em o tym, ¿e chce mi siê piæ. 130 minut seansu minê³o zupe³nie jak 30. Jednym s³owem: miazga.",9.0
"Poza nietypowym wyk³adem, pozostaje tak¿e wyœmienicie skonstruowan¹ fabu³¹.",9.0
"Nie jest filmem ³atwym, w ¿adnym wypadku. Jest to film przystêpny dla ka¿dego laika finansowego, ale tylko i wy³¹cznie wtedy, kiedy przestaniemy siê przejmowaæ tym, ¿e czegoœ w filmie nie rozumiemy.",9.0
"Czar Big Short nie minie do momentu, a¿ poznamy na pamiêæ ka¿dy jego fragment. Gwarantujê.",9.0
"Wrêcz genialny film, wykorzystuj¹cy inne ujêcie tematu kryzysu oraz przedstawiaj¹cy go z zupe³nie innej perspektywy.",9.0
"Niesie du¿e wartoœci edukacyjne i przedstawia wiele problemów, które zapewne powróc¹ w przysz³oœci nie raz, a przy tym jest niezwykle atrakcyjnie, odwa¿nie i ciekawie zrealizowanym kinem rozrywkowym.",9.0
"Z pewnoœci¹ nie jest filmem, na który mo¿na siê wybraæ bez choæby minimalnego przygotowania. Krótka lekcja ekonomii zaowocuje jednak w tym przypadku znakomit¹ rozrywk¹ ju¿ na sali kinowej.",8.5
Œwietny film o kruchym i skorumpowanym rynku.,8.5
"Filmowa pere³ka, która gdyby ¿ycie i œwiat by³o lepsze, nie mia³aby prawa powstaæ.",8.5
"Niezwykle barwnie i przystêpnie, opowiada o przyczynach, i kulisach najwiêkszego kryzysu ekonomicznego wspó³czesnego œwiata. Atrakcyjnym jêzykiem ""Wilka z Wall Street"" oswaja z tematem nawet najbardziej zatwardzia³ych, ekonomicznych ignorantów.",8.3
"Adam McKay robi wszystko, by film poch³ania³o siê jednym tchem tak jak on poch³on¹³ ksi¹¿kê.",8.3
"S³odko-gorzki dramat okraszony doœæ specyficznym humorem, w którym nawet s³upki statystyk i dziwnie brzmi¹ce has³a bankierskie podawane s¹ w przystêpnej i przyjemnej formie.",8.3
"McKay znalaz³ b³yskotliw¹ formê dla swojej opowieœci, przez któr¹ prowadz¹ nas równie¿ bohaterowie, zwracaj¹c siê bezpoœrednio do widzów. Znakomicie zrównowa¿y³ œwietne poczucie humoru z w¹tkami poruszaj¹cymi, nadzwyczaj zajmuj¹co buduj¹c dramaturgiê. Przede wszystkim jednak opar³ historiê na frapuj¹cych i co wa¿ne - autentycznych postaciach.",8.3
Pos³uguje siê w sposób niezwykle finezyjny estetyk¹ dokumentalizuj¹c¹.,8.3
"Lekki w formie, b³yskotliwy ""Big short"" jest filmem bardzo wa¿nym i potrzebnym.",8.3
"Œwietnie opowiedziana historia, która pozwala zrozumieæ genezê i konsekwencje kryzysu finansowego. Ju¿ sama obsada aktorska zachêca do siêgniêcia w³aœnie po tê pozycjê.",8.0
